Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability
1123,231.0,,21.09972422,92.20911798,0,link,11123,N1,,443.76761,5820.0,24.0,0.01972062448644207,,
1124,1.2,A,21.09887103,92.20965792,,bridge,11124,N1,,443.76881,5820.0,24.0,0.01972062448644207,,
1125,479.0,,21.09695115,92.21055901,0,link,11125,N1,,444.24781,5820.0,24.0,0.01972062448644207,,
1126,2.7,A,21.09503127,92.2114601,,bridge,11126,N1,,444.25051,5820.0,24.0,0.01972062448644207,,
1127,69.0,,21.09473824,92.21156818,0,link,11127,N1,,444.31951000000004,5820.0,24.0,0.01972062448644207,,
1128,2.7,A,21.09444522,92.21167626,,bridge,11128,N1,,444.32221000000004,5820.0,24.0,0.01972062448644207,,
1129,244.0,,21.09341397,92.21199371,0,link,11129,N1,,444.56621,5820.0,24.0,0.01972062448644207,,
1130,4.2,A,21.09238273,92.21231115,,bridge,11130,N1,,444.57041,5820.0,24.0,0.01972062448644207,,
1131,221.0,,21.09145438,92.21259787,0,link,11131,N1,,444.79141,5820.0,24.0,0.01972062448644207,,
1132,2.7,A,21.09052602,92.21288459,,bridge,11132,N1,,444.79411,5820.0,24.0,0.01972062448644207,,
1133,209.0,,21.08969653,92.21329008,0,link,11133,N1,,445.00311,5820.0,24.0,0.01972062448644207,,
1134,1.2,A,21.08886703,92.21369557,,bridge,11134,N1,,445.00431,5820.0,24.0,0.01972062448644207,,
1135,245.0,,21.08791309,92.21426597,0,link,11135,N1,,445.24931,5820.0,24.0,0.01972062448644207,,
1136,2.8,A,21.08695915,92.21483637,,bridge,11136,N1,,445.25210999999996,5820.0,24.0,0.01972062448644207,,
1137,59.0,,21.08672942,92.21497374,0,link,11137,N1,,445.31111,5820.0,24.0,0.01972062448644207,,
1138,1.2,A,21.0864997,92.2151111,,bridge,11138,N1,,445.31231,5820.0,24.0,0.01972062448644207,,
1139,254.0,,21.0854561,92.21551547,0,link,11139,N1,,445.56631,5820.0,24.0,0.01972062448644207,,
